model,threshold,precision,recall,false_negative_rate,f1,positive_rate_predicted
logistic_regression,0.05,0.21209740769835037,0.954873390861508,0.04512660913849198,0.34709723864863473,0.6272666351308736
logistic_regression,0.1,0.2726945244956772,0.8566982600084878,0.1433017399915122,0.41370358984868666,0.4377168085777357
logistic_regression,0.15,0.3185050136736554,0.7414061394822464,0.25859386051775357,0.445587485121578,0.3243259224219489
logistic_regression,0.2,0.36021331609566903,0.6306408261423115,0.36935917385768846,0.4585240421702237,0.24392935982339956
logistic_regression,0.25,0.3919549989386542,0.5224218418446739,0.4775781581553261,0.44788066217937056,0.18570640176600442
logistic_regression,0.3,0.41846758349705304,0.42184184467392843,0.5781581553260715,0.42014793941528705,0.14045253863134657
logistic_regression,0.4,0.472535741158766,0.26651577309378977,0.7334842269062103,0.34081041968162085,0.07858325449385052
logistic_regression,0.5,0.5153774464119292,0.15645777337671524,0.8435422266232848,0.24004340748779165,0.04229738252917061
random_forest,0.05,0.22642805619482706,0.9325222803791201,0.0674777196208799,0.3643800784920679,0.5738134657836644
random_forest,0.1,0.27570548167369446,0.8417032112038478,0.15829678879615217,0.41535776614310643,0.4253587196467991
random_forest,0.15,0.3127426756088952,0.7520158438251521,0.24798415617484793,0.4417667345327627,0.3350283822138127
random_forest,0.2,0.3453690303907381,0.6752015843825152,0.3247984156174848,0.45698693092058024,0.27239041311888995
random_forest,0.25,0.37840785169029445,0.5890507851181214,0.41094921488187863,0.4607978752835722,0.21688741721854304
random_forest,0.3,0.4106521234625203,0.5006365822605744,0.4993634177394256,0.4512016319245235,0.16985966572059288
random_forest,0.4,0.4718858131487889,0.3086716650162682,0.6913283349837318,0.3732147438638502,0.09113844213181961
random_forest,0.5,0.550561797752809,0.13170179657660205,0.8682982034233979,0.21255707762557077,0.03332939135919268
