subgroup,group_value,n,positive_rate_actual,positive_rate_predicted,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate
sex,0,28531,0.12915775822789247,0.31271248817076164,0.752444709263608,0.31069266980497645,0.7522388059701492,0.43975569128262076,0.24752475247524752,0.24776119402985075
sex,1,22205,0.15239810853411395,0.37788786309389777,0.7046160774600315,0.31080920033369086,0.7706855791962175,0.4429723991507431,0.30726316348759364,0.2293144208037825
income,1,1941,0.24471921689850593,0.5909325090159712,0.5960844925296239,0.3653007846556234,0.8821052631578947,0.5166461159062885,0.4965893587994543,0.11789473684210526
income,2,2325,0.2709677419354839,0.6567741935483871,0.5582795698924731,0.3700065487884741,0.8968253968253969,0.5238757533611498,0.567551622418879,0.10317460317460317
income,3,3162,0.2232764073371284,0.5793801391524351,0.5977229601518027,0.3455240174672489,0.896600566572238,0.4988179669030733,0.48819218241042345,0.10339943342776203
income,4,3990,0.19523809523809524,0.5152882205513785,0.6182957393483709,0.31906614785992216,0.8421052631578947,0.46278659611992945,0.43600124571784493,0.15789473684210525
income,5,5174,0.1720139157325087,0.45535369153459604,0.6544259760340162,0.3094227504244482,0.8191011235955056,0.4491682070240296,0.37978524743230624,0.18089887640449437
income,6,7281,0.14242549100398297,0.37082818294190356,0.7032001098750171,0.29185185185185186,0.759884281581485,0.4217286593524217,0.3062139654067905,0.24011571841851495
income,7,8730,0.12416953035509737,0.28843069873997706,0.7555555555555555,0.2915011914217633,0.6771217712177122,0.40755136035535816,0.23332461417734762,0.32287822878228783
income,8,18133,0.08095737053989963,0.17520542657034135,0.8382507031379254,0.2694365753855839,0.5831062670299727,0.3685683530678149,0.13927392739273928,0.41689373297002724
education,1,32,0.21875,0.625,0.53125,0.3,0.8571428571428571,0.4444444444444444,0.56,0.14285714285714285
education,2,795,0.2779874213836478,0.7056603773584905,0.5245283018867924,0.3600713012477718,0.9140271493212669,0.5166240409207161,0.6254355400696864,0.08597285067873303
education,3,1890,0.24656084656084656,0.6137566137566137,0.5714285714285714,0.35172413793103446,0.8755364806866953,0.5018450184501845,0.5280898876404494,0.12446351931330472
education,4,12508,0.17916533418612088,0.4584266069715382,0.652782219379597,0.31670735960934776,0.8103525211958947,0.45542319749216303,0.3816109866562774,0.18964747880410532
education,5,14048,0.1497010250569476,0.36318337129840544,0.7181805239179955,0.3181105448843591,0.7717546362339515,0.4505204718945177,0.29125156969443283,0.2282453637660485
education,6,21463,0.0946279644038578,0.2206588081815217,0.8081815216884871,0.2797719594594595,0.6523879862136879,0.39160632481158564,0.17553519967064635,0.3476120137863122
