feature,logistic_coefficient,logistic_abs_coefficient,random_forest_importance
highbp,0.3642574389101407,0.3642574389101407,0.2456990816563889
highchol,0.28726517922429295,0.28726517922429295,0.10918008295532165
cholcheck,0.24770172696442738,0.24770172696442738,0.005970491787729168
bmi,0.49058474445642153,0.49058474445642153,0.1317053232499091
smoker,0.0021476846076568714,0.0021476846076568714,0.0010443857641824275
stroke,0.0372376463079823,0.0372376463079823,0.004225117063022093
heartdiseaseorattack,0.0730476934502531,0.0730476934502531,0.02946910407779937
physactivity,-0.01944894128536752,0.01944894128536752,0.008598340419113577
fruits,-0.03483641237907649,0.03483641237907649,0.0006153810103845008
veggies,-0.007296879103738865,0.007296879103738865,0.0005937025780093972
hvyalcoholconsump,-0.17295033092901968,0.17295033092901968,0.005451179582701004
anyhealthcare,0.013939764733006671,0.013939764733006671,0.0004004749891598466
nodocbccost,0.013419798768483376,0.013419798768483376,0.0003262761235868644
genhlth,0.618829530097941,0.618829530097941,0.2444542225832996
menthlth,-0.03229425585435115,0.03229425585435115,0.0022911655440916085
physhlth,-0.05837389585254305,0.05837389585254305,0.022527767719409193
diffwalk,0.037370945536413784,0.037370945536413784,0.05674601865973273
sex,0.13916790159483441,0.13916790159483441,0.004470718624684138
age,0.45742842102351033,0.45742842102351033,0.09519150310032859
education,-0.037379052686891075,0.037379052686891075,0.007241138487826765
income,-0.11933608514638312,0.11933608514638312,0.02379852402331955
